election,active_date,status,active_reason,committee_id
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,9686
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,9686
2004 General Election,,Active,,9686
2018 Primary Election,08/18/2017,Active,Contribution to Active Candidate or Measure Committee,5885
2016 General Election,06/08/2016,Active,Contribution to Active Candidate or Measure Committee,5885
2016 Primary Election,08/25/2015,Active,Contribution to Active Candidate or Measure Committee,5885
2015 November Election,08/17/2015,Active,Contribution to Active Candidate or Measure Committee,5885
2015 May Election,05/05/2015,Active,Contribution to Active Candidate or Measure Committee,5885
2014 General Election,03/19/2014,Active,Contribution to Active Candidate or Measure Committee,5885
2014 Primary Election,05/31/2012,Active,Contribution to Active Candidate or Measure Committee,5885
2012 General Election,05/31/2012,Active,In-Kind or Independent Expenditure,5885
2012 Primary Election,09/25/2011,Active,Statement of Organization,5885
2010 General Election,05/22/2010,Active,System Generated / Primary or General Election,5885
2010 Primary Election,01/13/2010,Active,Contribution to Active Candidate or Measure Committee,5885
2008 General Election,06/26/2008,Active,Statement of Organization,5885
2008 Primary Election,10/31/2007,Active,Statement of Organization,5885
2004 General Election,,Active,,5885
2016 General Election,,Inactive,User Requested Inactivation,5726
2016 Primary Election,,Inactive,User Requested Inactivation,5726
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5726
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5726
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5726
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,5726
2010 General Election,09/15/2010,Active,User Requested Activation,5726
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,5726
2008 General Election,06/25/2008,Active,Statement of Organization,5726
2008 Primary Election,02/14/2008,Active,Statement of Organization,5726
2004 Primary Election,,Active,,5726
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5773
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5773
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5773
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5773
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5773
2012 Primary Election,04/26/2011,Active,System Generated / Primary or General Election,5773
2010 General Election,02/23/2009,Active,Statement of Organization,5773
2010 Primary Election,11/03/2009,Active,System Generated / Primary or General Election,5773
2008 General Election,05/07/2008,Active,Statement of Organization,5773
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5773
2004 Primary Election,,Active,,5773
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,92
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,92
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,92
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,92
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,92
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,92
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,92
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,92
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,92
2008 Primary Election,01/26/2008,Active,System Generated / Primary or General Election,92
2006 General Election,,Inactive,,92
2006 Primary Election,,Inactive,,92
2004 General Election,,Inactive,,92
2004 Primary Election,,Inactive,,92
2004 February Special Election,01/26/2008,Active,Statement of Organization,92
2003 January Special Election,,Inactive,,92
2002 General Election,,Inactive,,92
2002 Primary Election,,Inactive,,92
2000 General Election,,Inactive,,92
2000 Primary Election,,Inactive,,92
1998 General Election,,Inactive,,92
1997 November Special Election,,Inactive,,92
1996 General Election,,Inactive,,92
1996 Primary Election,,Inactive,,92
1994 General Election,,Inactive,,92
1994 Primary,,Inactive,,92
1993 November Special Election,,Inactive,,92
1992 General Election,,Inactive,,92
1992 Primary Election,,Inactive,,92
1990 General Election,,Inactive,,92
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,10727
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,10727
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,10727
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,10727
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,10727
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,10727
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,10727
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,10727
2008 General Election,06/27/2008,Active,Statement of Organization,10727
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,10727
2004 General Election,,Active,,10727
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5673
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5673
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5673
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5673
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,5673
2012 Primary Election,03/14/2011,Active,System Generated / Primary or General Election,5673
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,5673
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,5673
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,5673
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,5673
2004 General Election,,Active,,5673
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,151
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,151
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,151
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,151
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,151
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,151
2010 General Election,08/12/2010,Active,Contribution to Active Candidate or Measure Committee,151
2010 Primary Election,12/16/2009,Active,Contribution to Active Candidate or Measure Committee,151
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,151
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,151
2006 General Election,,Inactive,,151
2006 Primary Election,,Inactive,,151
2004 General Election,,Inactive,,151
2004 Primary Election,02/26/2004,Active,System Generated / Primary or General Election,151
2002 General Election,,Inactive,,151
2002 Primary Election,,Inactive,,151
2000 General Election,,Inactive,,151
2000 Primary Election,,Inactive,,151
1998 General Election,,Inactive,,151
1998 Biennial Primary Election,,Inactive,,151
1996 General Election,,Inactive,,151
1996 Primary Election,,Inactive,,151
1994 General Election,,Inactive,,151
1994 Primary,,Inactive,,151
1992 General Election,,Inactive,,151
1992 Primary Election,,Inactive,,151
1990 General Election,,Inactive,,151
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,4947
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,4947
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,4947
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,4947
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,4947
2012 Primary Election,11/21/2011,Active,System Generated / Primary or General Election,4947
2010 General Election,,Inactive,User Requested Inactivation,4947
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,4947
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,4947
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,4947
2004 General Election,09/28/2010,Active,Statement of Organization,4947
2017 May Election,03/28/2017,Active,Contribution to Active Candidate or Measure Committee,6029
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,6029
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,6029
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,6029
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,6029
2012 General Election,08/24/2012,Active,System Generated / Primary or General Election,6029
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,6029
2011 May Election,03/21/2011,Active,Contribution to Active Candidate or Measure Committee,6029
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,6029
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,6029
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,6029
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,6029
2004 General Election,04/29/2011,Active,Statement of Organization,6029
2016 General Election,03/26/2013,Active,Statement of Organization,6204
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,6204
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,6204
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,6204
2012 General Election,01/25/2011,Active,Statement of Organization,6204
2012 Primary Election,02/21/2012,Active,System Generated / Primary or General Election,6204
2010 General Election,08/13/2010,Active,System Generated / Primary or General Election,6204
2010 Primary Election,03/05/2010,Active,System Generated / Primary or General Election,6204
2008 General Election,08/05/2008,Active,System Generated / Primary or General Election,6204
2008 Primary Election,03/08/2008,Active,System Generated / Primary or General Election,6204
2004 General Election,,Active,,6204
2016 General Election,08/08/2016,Active,System Generated / Primary or General Election,5724
2016 Primary Election,02/03/2016,Active,System Generated / Primary or General Election,5724
2014 General Election,08/04/2014,Active,System Generated / Primary or General Election,5724
2014 Primary Election,02/24/2014,Active,System Generated / Primary or General Election,5724
