,1
Curry_Everett,1
Curry_Everett_(R),1
Curtright_W_Ames,1
Curtright_William_Ames,1
Custer_Kittee,1
Cutsforth_Thomas_W,1
Cutsforth_Tom,2
D_Abar_Donald,1
Daghlian_Paul_A,1
Dailey_Kathleen,1
Dailey_Kathleen_M,1
Dallum_John_H,2
Dallum_John_H_(R),2
Dalto_Billy,2
Dalto_Billy_(R),2
Dalton_Bill_(D),1
Dalton_William,1
Damon_Jamie_(D),1
Dancer_Rick,1
Dancer_Rick_(R),1
Dane_Frank_(L),1
Daniels_Jacob,1
Darling_Deanne_L,1
Davies_Lou,1
Davis_Dan,1
Davis_Drake_(L),1
Davis_Joelle,1
Davis_John_(R),2
Davis_Wanda_(D),1
Day_Hanten_(HD),1
Day_Hanten_(HD)_(D),1
Day_Ross,1
Day_Vance_D,1
DeCoste_Ed,1
DeCoste_Ed_(REP),1
DeFazio_Peter_A,5
DeFazio_Peter_A_(D),5
DeFazio_Peter_A_(DEM),1
DeFazio_Peter_A_(WI),1
DeHoog_Roger_J,1
DeVietro_Michael_F_(R),1
De_Muniz_Paul,1
Deane_Jeanne_E,1
Deane_Jeanne_E_(D),1
Decker_Andrew,1
Decker_Andrew_(R),1
Deckert_Ryan,1
Deckert_Ryan_(D),1
Defoe_Jerry_(L),1
Deguc_Vincent_A,2
Deits_Mary_J,1
Delaney_Paul_(L),2
Delphine_Marc_(L),2
Delphine_Marc_(LBT),1
Delphine_Marc_L_(L),1
Delsman_Dave,1
Delsman_David_E,1
Dembrow_Michael,2
Dembrow_Michael_(D),2
Dembrow_Michael_(DEM),1
Dembrow_Michael_E,1
Dembrow_Michael_E_(D),1
Dengfelder_Jackie,1
Derville-Teer_Eldon,1
Derville-Teer_Eldon_(R),1
Detlefsen_Susan_(L),1
Deuel_Peter_L,1
Devlin_Richard,2
Devlin_Richard_(D),2
Devlin_Richard_(DEM),1
Dial_Everett,2
Dickey_Don_A,1
Dickman_Eric_(L),1
Diefenderfer_Jim,1
Diefenderfer_Jim_(D),1
Dingfelder_Jackie,7
Dingfelder_Jackie(WI),2
Dingfelder_Jackie_(D),4
Dingfelder_Jackie_(WI),1
Dinkel_G_Shane,1
Dodge_Julie_(L),1
Doherty_Margaret,2
Doherty_Margaret_(D),2
Doherty_Margaret_(DEM),1
Doherty_Valerie_B,1
Donohue_Matthew,1
Dooney_Michael_J,1
Dotterer_Dave_(R),1
Dotterrer_Dave,1
Dotterrer_Dave_(REP),1
Doty_John,1
Doty_John_(D),1
Downer_Jr_Hugh_J,1
Doyle_Dan,1
Doyle_Dan_(R),1
Draper_Joan,1
Draper_Joan_(R),1
Dretke_Brian_C,1
Dudley_Chris,1
Dudley_Chris_(REP),1
Duerfeldt_Tim,1
Duerfeldt_Tim_(D),1
Dugan_Mike,2
Duncan_Rebecca_A,1
Durbin_Sharon_L_(L),1
Durham_Robert_D_(Skip),1
Duyck_Andy_(R),1
Duyck_Jeff,1
Dyer_Jim,1
Dyer_Jim_(DEM),1
Dzieman_Tom,1
Easterday_Cynthia,1
Eberle_Michele,1
Eberle_Michele_(D),1
Eddie_Bill,1
Eddie_Bill_(R),1
Edmonds_Walt,1
Edwards_Chris,3
Edwards_Chris(WI),1
Edwards_Chris_(D),3
Edwards_Chris_(DEM),1
Edwards_David,3
Edwards_David_(D),2
Edwards_Randall,1
Edwards_Randall_(D),1
Egan_James_C,3
Eggleston_Mark,1
Eggleston_Mark_(R),1
Ekstrom_Bob_(C),2
Ekström_Bob_(C),1
Elder_Travis,1
Ellefson_Jared_(L),1
Ellefson_Jay_A_(L),1
Ellison_James_(Jim)(WI),1
Ellison_James_(Jim)_(R),1
Ellmyer_Richard,1
Ericksen_Larry_C_(R),1
Erickson_Mike,2
Erickson_Mike_(R),2
Erwin_Andy,1
Esp_Jack_L,1
Esquival_Sal_C,1
Esquivel_Sal,4
Esquivel_Sal(WI),1
Esquivel_Sal_(R),4
Esquivel_Sal_(REP),1
Esquivel_Sal_C_(R),1
Evans_Paul,1
Evans_Paul_(D),2
Ewert_Glen_E_(L),1
Extine_Chris_(PG),1
Extine_Chris_(PGP),1
Eyre_Katie,1
Eyre_Katie_(R),1
Factora_Wipper_Janelle,1
Fagan_Mike,1
Fagan_Shemia,1
Fagan_Shemia_(D),2
Falbo_Jean_A,1
Falbo_Jean_A_(DEM),1
Fall_Charles_P_(P),1
Farr_Debi,2
Farr_Debi_(R),2
Farrell_Timothy_MB,1
Farrington_Dan,1
Farrington_Dan_(R),1
Featherstone_Maryl_Graybeal,1
Feigner_Rachel_J_(L),1
Feldewerth_Christi_(L),1
Feldkamp_Jim,2
Feldkamp_Jim_(R),2
Fell_Don,1
Fell_Don_(R),1
Felton_Aaron,3
Ferrioli_Ted,3
Ferrioli_Ted(WI),2
Ferrioli_Ted_(R),3
Ferrioli_Ted_(WI),1
Ficek_Bev,1
Ficek_Bev_(D),1
Fiddes_Gordon,1
Fiddes_Gordon_(REP),1
Fioravanti_Kayla,1
Firestone_Kathryn,1
Firestone_Kathryn_(D),1
Fisher_John,1
Fitzgerald_Dan_(L),1
Flaherty_Patrick_J,1
Flores_Linda,3
Flores_Linda_(R),3
Flowers_Dee,1
Flowers_Dee_(REP),1
Fogelson_Steven,1
Foote_Gregory_G,1
Foote_John_S,3
Forest_Michael_W,1
Forest_Michael_W_(REP),1
Forsberg_Toby,2
Forsberg_Toby_(D),1
Forte_Stephen_P,1
Forthan_Bob,1
Forthan_Bob_Leonard,1
Foster_Andrew,1
Foster_James_(L),1
Foster_James_(LBT),1
Fox_Jim,1
France_Mitch_Lee,1
Francis_Mark_M_(C),1
Frank_Annette,1
Frank_Annette_(D),1
Frank_Steve,1
Frank_Steve_(D),1
Frank_Steven_H,1
Frantz_Julie,1
Franzoni_Hank,1
Franzoni_Hank_(D),1
Frasier_R_Paul,2
Frederick_Lew,2
Frederick_Lew(WI),1
Frederick_Lew_(D),1
Frederick_Lew_(DEM),1
Frederick_Lew_(WI),1
Freeman_Sharon,1
Freeman_Shirley_(Whitehead),1
Freeman_Shirley_(Whitehead)_(R),1
Freeman_Tim,1
Freeman_Tim(WI),1
Freeman_Tim_(R),1
Freeman_Tim_J,2
Freeman_Tim_J_(R),1
Freeman_Tim_J_(REP),1
Fuchs_Alicia_A,2
Fudge_Brad,1
Fun_Jim,2
Gaddis_Jenn,1
Galizio_Larry,3
Galizio_Larry_(D),3
Gallagher_Suzanne,1
Gallagher_Suzanne(WI),1
Gallagher_Suzanne_(R),2
Gallegos_Joe_(D),2
Gallegos_Mary,1
Gallegos_Mary_(R),1
Galton_Sidney_A,1
Garcia_Connie,1
Garcia_Connie_(D),1
Garcia_Oscar,1
Garcia_Roger_F_(L),1
Gardier_Rob,1
Gardier_Rob_(REP),1
Gardner_Alex,2
Gardner_Dan,1
Gardner_Mark,1
Garrard_Bill,4
Garrard_Bill(WI),1
Garrard_Bill_(R),3
Garrard_Bill_(REP),1
Garrard_Bill_(WI),1
Garrett_Chris,3
Garrett_Chris_(D),2
Garrett_Chris_(DEM),1
Garrison_Randy,3
Geiger_Matt_(R),1
Geiger_Steve_(P),1
Gelser_Sara_A,5
Gelser_Sara_A_(D),4
Gelser_Sara_A_(DEM),1
George_Gary,1
George_Gary_(R),1
George_Larry,2
George_Larry_(R),1
George_Larry_(REP),1
Gerboth_John_S_(L),1
Gergen_Christopher_P_(R),1
Gerking_Timothy,1
Germond_Jaynee,1
Germond_Jaynee_(C),1
Gerritzen_Deborah_J,1
Gerritzen_Deborah_J_(REP),1
Geyer_Courtland,1
Gilbert_Jim,3
Gilbert_Jim_(D),3
Gilbertson_Jim,1
Gilbertson_Jim_(D),1
Gillespie_Mike,2
Gillette_W_Michael_(Mick),1
Gilliam_Vic,3
Gilliam_Vic(WI),1
Gilliam_Vic_(R),3
Gilliam_Vic_(REP),1
Gilman_George,3
Gilman_George(WI),2
Gilman_George_(R),3
Gilman_George_(WI),1
Gingrich_Newt,1
Girod_Fred,2
Girod_Fred_(R),3
Gist_Don_(R),1
Glad_Edward_(Ed),1
Goberman_Pavel,5
Goche_Richard_(Rick),1
Goche_Richard_(Rick)_(D),1
Goldstein_George,1
Gomberg_David,1
Gomberg_David_(D),2
Gonzalez_Barbara_(CON),1
Gonzalez_Barbara_L_(C),2
Goodhouse_John,1
Goodhouse_John_(R),1
Goodwin_Jeff,1
Gordly_Avel_Louise,1
Gordly_Avel_Louise_(D),1
Gordly_Avel_Louise_(WI),1
Gordon_Simone,1
Gordon_Simone_(REP),1
Gorsek_Chris,1
Gorsek_Chris_(D),2
Goss_Kathy_B_(R),1
Grad_Paul_(L),1
Graham_Kathy_T,1
Grant_Jenefer_Stenzel,1
Grant_Jerome,1
Grant_Jerome_(R),1
Granum_Fred,1
Grasty_Steve,2
Grasty_Steven_(Steve),1
Graves_Dennis_J,2
Gray_Regan_Felice,1
Grederick_Lew_(D),1
Green_Ron_(D),1
Green_Ronald,1
Green_Ronald_(R),1
Greenhalgh-Johnson_Mark,1
Greenlick_Mitch,5
Greenlick_Mitch_(D),5
Greenlick_Mitch_(DEM),1
Greif_Lisa_C,3
Greig_Lisa_C,1
Grensky_Ron,3
Griffith_Steve,2
Griffith_Steve_(R),1
Grisham_Brian,2
Grisham_Brian_(D),2
Grove_Ted_E,1
Guimond_Joseph_C,1
Gurney_Anne_Marie,2
Gurney_Anne_Marie_(R),1
Gurney_Anne_Marie_(REP),1
Gushwa_Dean_F,1
HIll_Tyler,1
Hack_Jodi_L_(R),1
Hadlock_Erika,1
Haffner_Ryan_(L),1
Hahn_Jr_Edgar,1
Hake_Richard_D_(C),2
Hake_Rick_(C),1
Hall_Peter,1
Hall_Peter_(D),1
Hall_Peter_W_(D),1
Hall_Tom,1
Haller_III_Don_H,2
Hallman_W_Eugene_(Gene),1
Hamalian_Alexander,1
Hampton_Lynn_W,1
Hamsher_Jim,1
Hanna_Bruce,4
Hanna_Bruce(WI),1
Hanna_Bruce_(R),3
Hanna_Bruce_(REP),1
Hanna_Bruce_L,1
Hanna_Bruce_L_(R),1
Hansell_Bill,1
Hansell_Bill_(R),1
